#Lines          Freq
HCN_10 		88.630420
HCN_21 		177.25968
HCN_32 		265.88618
HCN_43 		354.50548
OI_146um 	2060.0691
NII_122um 	2459.3801
NII_205um 	1461.1314
CI_370um 	809.34197
CI_610um 	492.16065
HCO+_10 	89.188520
HCO+_21 	178.37506 
HCO+_32 	267.55763
HCO+_43 	356.73422
H2O-211-202	752.033227 
H2O-202-111	987.926764 
H2O-312-303	1097.364791 
H2O-312-221	1153.126822 
H2O-321-312	1162.911593 
H2O-422-413	1207.638714 
CII         1900.5369

